台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",7180,33,24,0,2845,1/217.6,1/299.2,0.0,126.0
"
479
",8332,41,31,0,3787,1/203.2,1/268.8,0.0,115.7
"
480
",9038,38,33,0,2130,1/237.8,1/273.9,0.0,127.3
"
481
",7475,29,23,0,1425,1/257.8,1/325.0,0.0,143.8
"
482
",6260,29,11,0,1373,1/215.9,1/569.1,0.0,156.5
"
483
",4686,19,9,0,976,1/246.6,1/520.7,0.0,167.4
"
484
",7221,20,22,0,858,1/361.1,1/328.2,0.0,171.9
"
485
",5090,13,21,0,890,1/391.5,1/242.4,0.0,149.7
"
486
",8597,43,33,0,3872,1/199.9,1/260.5,0.0,113.1
"
487
",6131,20,18,0,1362,1/306.6,1/340.6,0.0,161.3
"
488
",6711,16,19,0,713,1/419.4,1/353.2,0.0,191.7
"
489
",5098,12,12,0,850,1/424.8,1/424.8,0.0,212.4
"
490
",7807,26,21,0,1105,1/300.3,1/371.8,0.0,166.1
"
491
",7697,22,29,0,886,1/349.9,1/265.4,0.0,150.9
"
492
",5465,19,16,0,1446,1/287.6,1/341.6,0.0,156.1
"
493
",7930,32,20,0,2714,1/247.8,1/396.5,0.0,152.5
"
494
",6261,20,14,0,1207,1/313.1,1/447.2,0.0,184.1
"
495
",4451,13,8,0,662,1/342.4,1/556.4,0.0,212.0
"
496
",8577,35,31,0,2007,1/245.1,1/276.7,0.0,130.0
"
497
",6243,20,17,0,846,1/312.2,1/367.2,0.0,168.7
"
498
",8024,28,24,0,1707,1/286.6,1/334.3,0.0,154.3
"
499
",6521,23,26,0,1537,1/283.5,1/250.8,0.0,133.1
"
500
",8358,32,19,0,1204,1/261.2,1/439.9,0.0,163.9
"
501
",3753,14,6,0,698,1/268.1,1/625.5,0.0,187.7
"
502
",6776,34,12,0,1543,1/199.3,1/564.7,0.0,147.3
"
503
",7501,16,24,0,574,1/468.8,1/312.5,0.0,187.5
"
504
",8724,44,22,0,2939,1/198.3,1/396.5,0.0,132.2
"
505
",4166,17,10,0,2072,1/245.1,1/416.6,0.0,154.3
"
506
",5710,28,10,0,1623,1/203.9,1/571.0,0.0,150.3
"
507
",5520,16,13,0,923,1/345.0,1/424.6,0.0,190.3
"
508
",7596,24,19,0,1129,1/316.5,1/399.8,0.0,176.7
"
509
",5093,16,10,0,678,1/318.3,1/509.3,0.0,195.9
"
510
",8820,25,37,0,1400,1/352.8,1/238.4,0.0,142.3
"
511
",6103,21,18,0,1820,1/290.6,1/339.1,0.0,156.5
"
512
",6239,25,19,0,1682,1/249.6,1/328.4,0.0,141.8
"
513
",7935,32,21,0,2494,1/248.0,1/377.9,0.0,149.7
"
514
",7414,32,16,0,1680,1/231.7,1/463.4,0.0,154.5
"
515
",7944,27,24,0,2109,1/294.2,1/331.0,0.0,155.8
"
516
",8318,31,30,0,2090,1/268.3,1/277.3,0.0,136.4
"
517
",8958,43,32,0,3041,1/208.3,1/279.9,0.0,119.4
"
524
",7563,34,19,0,2525,1/222.4,1/398.1,0.0,142.7
"
525
",5495,18,17,0,1596,1/305.3,1/323.2,0.0,157.0
"
526
",7028,27,22,0,1209,1/260.3,1/319.5,0.0,143.4
"
527
",7530,35,18,0,2299,1/215.1,1/418.3,0.0,142.1
"
528
",2768,4,3,0,490,1/692.0,1/922.7,0.0,395.4
"
529
",7403,33,16,0,1555,1/224.3,1/462.7,0.0,151.1
"
530
",4768,13,15,0,1123,1/366.8,1/317.9,0.0,170.3
"
531
",6528,27,21,0,1697,1/241.8,1/310.9,0.0,136.0
"
532
",5730,24,15,0,1516,1/238.8,1/382.0,0.0,146.9
"
533
",4817,14,9,0,698,1/344.1,1/535.2,0.0,209.4
"
534
",6218,13,21,0,584,1/478.3,1/296.1,0.0,182.9
"
535
",7531,24,19,0,921,1/313.8,1/396.4,0.0,175.1
