台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート
478,7270,31,16,0,1491,1/234.5,1/454.4,0.0,154.7,77
479,5025,13,6,0,601,1/386.5,1/837.5,0.0,264.5,179
480,6515,24,21,0,1457,1/271.5,1/310.2,0.0,144.8,49
481,9015,29,25,0,782,1/310.9,1/360.6,0.0,166.9,261
482,4950,13,12,0,820,1/380.8,1/412.5,0.0,198.0,214
483,8632,19,34,0,861,1/454.3,1/253.9,0.0,162.9,17
484,6625,26,18,0,1580,1/254.8,1/368.1,0.0,150.6,114
485,6820,31,18,0,2889,1/220.0,1/378.9,0.0,139.2,0
486,9219,28,30,0,1205,1/329.3,1/307.3,0.0,158.9,293
487,8786,32,26,0,1374,1/274.6,1/337.9,0.0,151.5,176
488,7650,26,20,0,1657,1/294.2,1/382.5,0.0,166.3,106
489,8585,33,31,0,1596,1/260.2,1/276.9,0.0,134.1,131
490,7394,28,17,0,1438,1/264.1,1/434.9,0.0,164.3,146
491,7497,33,25,0,2674,1/227.2,1/299.9,0.0,129.3,287
492,7965,32,21,0,2403,1/248.9,1/379.3,0.0,150.3,167
493,6526,28,14,0,1608,1/233.1,1/466.1,0.0,155.4,226
494,7627,34,23,0,2324,1/224.3,1/331.6,0.0,133.8,468
495,7550,38,18,0,2868,1/198.7,1/419.4,0.0,134.8,0
496,5888,22,11,0,1234,1/267.6,1/535.3,0.0,178.4,119
497,7672,28,25,0,1704,1/274.0,1/306.9,0.0,144.8,57
498,7594,40,17,0,3841,1/189.9,1/446.7,0.0,133.2,376
499,8193,34,23,0,1666,1/241.0,1/356.2,0.0,143.7,427
500,8362,29,33,0,1332,1/288.3,1/253.4,0.0,134.9,122
501,5959,19,15,0,1047,1/313.6,1/397.3,0.0,175.3,147
502,7191,30,23,0,1845,1/239.7,1/312.7,0.0,135.7,373
503,8125,28,21,0,1580,1/290.2,1/386.9,0.0,165.8,37
504,7742,26,26,0,1539,1/297.8,1/297.8,0.0,148.9,182
505,7347,22,20,0,1317,1/334.0,1/367.4,0.0,174.9,302
506,8387,32,28,0,1443,1/262.1,1/299.5,0.0,139.8,4
507,7788,33,19,0,1426,1/236.0,1/409.9,0.0,149.8,212
508,9316,40,31,0,3298,1/232.9,1/300.5,0.0,131.2,218
509,5946,25,14,0,1572,1/237.8,1/424.7,0.0,152.5,345
510,7350,32,19,0,1483,1/229.7,1/386.8,0.0,144.1,115
511,6458,23,15,0,1078,1/280.8,1/430.5,0.0,169.9,142
512,6694,30,17,0,2219,1/223.1,1/393.8,0.0,142.4,264
513,9280,40,36,0,3177,1/232.0,1/257.8,0.0,122.1,383
514,7705,26,15,0,1534,1/296.3,1/513.7,0.0,187.9,111
515,8431,38,25,0,2638,1/221.9,1/337.2,0.0,133.8,228
516,6616,16,23,0,783,1/413.5,1/287.7,0.0,169.6,135
517,8592,30,31,0,1507,1/286.4,1/277.2,0.0,140.9,310
526,5828,25,14,0,2680,1/233.1,1/416.3,0.0,149.4,196
527,8142,31,26,0,1648,1/262.6,1/313.2,0.0,142.8,171
528,7508,28,26,0,2431,1/268.1,1/288.8,0.0,139.0,186
529,6356,34,9,0,2908,1/186.9,1/706.2,0.0,147.8,91
530,6438,20,18,0,788,1/321.9,1/357.7,0.0,169.4,302
531,7937,37,25,0,2460,1/214.5,1/317.5,0.0,128.0,238
532,5406,19,8,0,946,1/284.5,1/675.8,0.0,200.2,329
533,6837,21,11,0,610,1/325.6,1/621.5,0.0,213.7,379
534,7591,25,22,0,1651,1/303.6,1/345.0,0.0,161.5,264
535,8668,41,21,0,2528,1/211.4,1/412.8,0.0,139.8,0
